Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ASSORTED,EVERYDAY,59470,56586,47666,56390,239277
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,61166,55729,47483,54264,216437
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,FRUIT,EVERYDAY,45735,46569,49789,55361,285687
AO CHEWY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,35001,38921,51096,44325,221383
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,FRUIT,EVERYDAY,36151,34115,29054,25306,159613
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,FRUIT,EVERYDAY,95706,70620,34755,35097,152546
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,77842,74776,37169,28927,186845
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,19908,9030,36663,18220,92770
GUMMY,IMMEDIATE,ETHNIC,CHANGEMAKER,ALL OTHER,EVERYDAY,116790,102191,100697,71393,288590
LICORICE,FUTURE,LICORICE,STANDUP BAG,ALL OTHER,EVERYDAY,48500,64288,60001,65391,306628
LOLLIPOP,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,55778,58864,48340,42412,210035
GUMMY,FUTURE,NOT APPLICABLE,STANDUP BAG,SOUR,SEASONAL,85239,73353,55448,54160,282471
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,55612,58300,48811,51344,198191
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,28458,22771,24140,21911,118726
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ASSORTED,EVERYDAY,20242,31880,43175,24947,118462
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,36528,14050,30842,34982,126941
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,3178,12681,15559,20010,157348
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,THEATER BOX,FRUIT,EVERYDAY,27164,35923,30609,54228,154445
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,33718,32387,29037,30064,125347
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,2819,8834,13736,17017,220727
FRUITY CHEWY,FUTURE,ETHNIC,LAYDOWN BAG,ASSORTED,EVERYDAY,14235,9074,29469,11203,65095
NUT,IMMEDIATE,NUT,SINGLE SIZE,NUT,EVERYDAY,95275,83329,76371,81348,317994
NUT,FUTURE,MAINLINE,PEG BAG,NUT,EVERYDAY,47754,49537,44276,39063,168620
HARD CANDY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,ALL OTHER,SEASONAL,144340,122762,175506,101397,527216
AO CHEWY,IMMEDIATE,ETHNIC,THEATER BOX,ALL OTHER,EVERYDAY,48,27255,60171,289,140007
CANDY CORN,FUTURE,NOT APPLICABLE,PEG BAG,ASSORTED,SEASONAL,48535,58777,49115,40264,217831
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,39177,42373,39600,43334,205944
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,FRUIT,EVERYDAY,42998,61975,55079,54811,254993
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,56830,51432,53395,79803,257677
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,56754,54735,49755,49145,193575
FRUITY CHEWY,IMMEDIATE,NOT APPLICABLE,THEATER BOX,FRUIT,SEASONAL,35,22135,37876,702,73462
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,27563,41709,29397,22580,144271
GUMMY,IMMEDIATE,MAINLINE,SHARE SIZE,SOUR,EVERYDAY,203320,214071,195495,206311,826276
ASSORTMENT MIXES,FUTURE,ETHNIC,PEG BAG,ASSORTED,EVERYDAY,41170,43031,39063,52502,186688
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,38256,42054,50385,51977,253872
AO CHEWY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,82327,72662,70028,68064,263284
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,330,49280,246735,2473,173340
GUMMY,FUTURE,GUMMY,BOX,ASSORTED,EVERYDAY,9314,69809,60067,59374,234335
JELLY BEANS,FUTURE,NOT APPLICABLE,STANDUP BAG,ALL OTHER,SEASONAL,41680,44614,51411,56023,343131
JELLY BEANS,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,54352,38453,32672,35896,198944
LOLLIPOP,FUTURE,KIDS NOVELTY,LAYDOWN BAG,FRUIT,EVERYDAY,77681,82757,83788,87933,336241
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,48311,51554,74881,74856,270199
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,93229,99852,79536,89267,377200
HARD CANDY,FUTURE,MAINLINE,BOX,FRUIT,EVERYDAY,143775,122998,52926,55348,185708
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,47555,49964,44974,49114,221915
NUT,FUTURE,ETHNIC,PEG BAG,NUT,EVERYDAY,86820,81290,56315,54034,264906
NUT,IMMEDIATE,NUT,SHARE SIZE,NUT,EVERYDAY,402,181,64814,3785,85558
HARD CANDY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,86507,92425,74716,76524,338571
AO CHEWY,FUTURE,NOT APPLICABLE,TUB,ALL OTHER,SEASONAL,36338,42177,41564,38264,182666
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,ALL OTHER,EVERYDAY,63141,60779,56856,69031,173472
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,1437,2250,9179,8239,65257
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,44549,48254,32912,26406,153096
AO CHEWY,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,ASSORTED,SEASONAL,20349,21539,25073,30762,154707
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,157856,73916,14020,3135,531311
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,44293,41481,44080,61192,312114
CANDY CANE,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,25798,37105,37287,41111,168692
NUT,IMMEDIATE,ETHNIC,SHARE SIZE,NUT,EVERYDAY,60246,82173,82785,53825,492313
LOLLIPOP,FUTURE,KIDS NOVELTY,PEG BAG,FRUIT,EVERYDAY,34521,38628,39534,45757,201719
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,59958,58206,56795,57206,216849
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,21460,20761,15698,17165,183499
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,69091,68583,59473,55857,214546
AO CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,ALL OTHER,EVERYDAY,61587,62208,53440,55005,258801
LICORICE,FUTURE,LICORICE,PEG BAG,ALL OTHER,EVERYDAY,63456,66105,54751,67269,251557
GUMMY,IMMEDIATE,GUMMY,CHANGEMAKER,ASSORTED,EVERYDAY,178613,165039,142813,122004,365586
FRUITY CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,47576,45730,43230,44003,216528
GUMMY,FUTURE,GUMMY,PEG BAG,ALL OTHER,EVERYDAY,22976,28661,41982,33702,147525
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,ASSORTED,EVERYDAY,38772,51837,42322,35769,183071
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,16950,16552,74855,26121,122158
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,75907,59439,48653,61206,264431
GUMMY,FUTURE,GUMMY,STANDUP BAG,SOUR,EVERYDAY,98249,103578,93274,92012,309518
NOVELTY,FUTURE,KIDS NOVELTY,TUB,SOUR,EVERYDAY,38413,38850,38334,39574,159085
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,1880,1264,929,2844,116232
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,102019,105763,93041,99319,355643
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,42072,42968,59955,48151,213006
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,117019,94308,95011,83992,225429
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,20479,19678,26507,25964,99822
LOLLIPOP,FUTURE,NOT APPLICABLE,PEG BAG,ASSORTED,SEASONAL,16092,18542,17479,18350,111805
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,131728,126849,98986,130978,369723
LOLLIPOP,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,256,1140,3242,5493,135130
NUT,FUTURE,NUT,LAYDOWN BAG,NUT,EVERYDAY,47631,40701,44814,59835,290551
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,SOUR,EVERYDAY,1801,638,3153,6216,241043
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,34115,40308,33727,33687,158576
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,277,298,236834,13946,157803
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,2379,2100,380,204,289462
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,38299,36283,32073,33332,143312
HARD CANDY,IMMEDIATE,MAINLINE,CHANGEMAKER,ALL OTHER,EVERYDAY,5310,66650,35862,81846,331007
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,58864,51148,55425,63663,318815
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,120443,113638,73579,85803,458043
LICORICE,FUTURE,LICORICE,STANDUP BAG,ALL OTHER,EVERYDAY,162174,112777,107804,99954,360054
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,88818,77051,72674,84067,289013
ASSORTMENT MIXES,IMMEDIATE,ETHNIC,SINGLE SIZE,ALL OTHER,EVERYDAY,63654,67500,58213,56994,226888
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,57949,54422,53273,57000,211582
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,34096,45917,40632,42464,175828
LOLLIPOP,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,FRUIT,SEASONAL,42065,46276,42786,42512,190191
JELLY BEANS,FUTURE,NOT APPLICABLE,BOX,ASSORTED,SEASONAL,41329,41208,37204,39913,209165
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,51339,48530,63845,56422,292148
LICORICE,FUTURE,LICORICE,PEG BAG,ALL OTHER,EVERYDAY,52763,39182,42334,48034,197535
NOVELTY,FUTURE,KIDS NOVELTY,TUB,FRUIT,EVERYDAY,78894,68217,55003,55691,202182
GUMMY,FUTURE,NOT APPLICABLE,PEG BAG,SOUR,SEASONAL,83713,105875,94983,105598,326024
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,39503,39928,44487,44639,169798
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,54412,56443,62256,59216,242425
GUMMY,FUTURE,GUMMY,PEG BAG,ALL OTHER,EVERYDAY,39215,47070,45031,46666,195282
GUMMY,FUTURE,GUMMY,STANDUP BAG,ALL OTHER,EVERYDAY,65526,74676,65824,67779,270894
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,55274,39916,33924,39432,214265
ASSORTMENT MIXES,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,ASSORTED,SEASONAL,99,752,3309,5331,97251
FRUITY CHEWY,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,FRUIT,EVERYDAY,60066,56818,47547,51177,188973
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,SOUR,EVERYDAY,458,28172,67273,2277,135564
GUMMY,IMMEDIATE,GUMMY,THEATER BOX,ASSORTED,EVERYDAY,21178,24486,32810,22490,87650
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,ALL OTHER,EVERYDAY,85887,83960,74546,83161,280210
NUT,FUTURE,NUT,TUB,NUT,EVERYDAY,34,1191,66535,2682,68777
GUMMY,FUTURE,GUMMY,STANDUP BAG,SOUR,EVERYDAY,46400,47381,81899,56826,341108
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,6418,6152,90480,28699,72791
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,23069,19366,10632,9935,96465
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,TUB,FRUIT,EVERYDAY,51180,63475,57421,59563,254807
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,ASSORTED,EVERYDAY,49434,50775,44225,53310,183077
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,SOUR,EVERYDAY,32814,37076,37891,45630,195494
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,36634,28097,32248,45631,148256
AO CHEWY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,26694,22116,39911,22705,107094
JELLY BEANS,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,SOUR,SEASONAL,26430,28132,29614,30890,149327
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,71032,67754,64310,61783,240917
NUT,FUTURE,NUT,BOX,NUT,EVERYDAY,4376,2910,1999,880,2700
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,63221,48629,41654,44576,192248
JELLY BEANS,FUTURE,NOT APPLICABLE,PEG BAG,SOUR,SEASONAL,9957,7707,10532,16159,181132
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,68846,68928,58902,53763,249461
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,44787,40674,67302,42676,204613
NUT,FUTURE,ETHNIC,LAYDOWN BAG,CARAMEL,EVERYDAY,65235,70131,46890,44065,201017
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,25207,21543,28408,34137,150634
NOVELTY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,FRUIT,SEASONAL,173845,200584,170768,172822,643963
NOVELTY,FUTURE,KIDS NOVELTY,TUB,ASSORTED,EVERYDAY,26049,23663,27769,29721,166583
FRUITY CHEWY,IMMEDIATE,LICORICE,THEATER BOX,ASSORTED,EVERYDAY,24005,31970,34612,37716,156195
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,27155,25772,22896,22723,142383
FRUITY CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,37610,31537,31075,29425,136135
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,70655,67245,62574,58773,220682
LOLLIPOP,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ALL OTHER,SEASONAL,85727,111847,68083,59072,218138
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,LAYDOWN BAG,ASSORTED,EVERYDAY,37651,34320,35738,52668,213361
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,101,186,1908,4401,30789
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,FRUIT,EVERYDAY,27137,25975,26437,29474,133556
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,124934,145316,109082,111255,425876
GUMMY,FUTURE,NOT APPLICABLE,BOX,ASSORTED,SEASONAL,85110,151738,66650,69085,258094
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,71642,61760,55121,41733,283855
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,SOUR,EVERYDAY,106908,97124,81340,101788,365731
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,SOUR,EVERYDAY,52520,44714,37949,41267,157461
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,39726,40299,40773,48980,198709
NOVELTY,FUTURE,NOT APPLICABLE,BOX,ASSORTED,SEASONAL,50737,54846,38939,38503,228703
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,46993,42067,47748,48056,199409
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,15922,20676,19673,20483,182374
NOVELTY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,FRUIT,SEASONAL,15929,38748,45370,55020,241109
JELLY BEANS,FUTURE,NOT APPLICABLE,BOX,ASSORTED,SEASONAL,2753,2601,4142,5873,128071
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,12912,15859,19190,27821,142214
HARD CANDY,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,FRUIT,EVERYDAY,88827,75935,55526,63142,259697
FRUITY CHEWY,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,FRUIT,SEASONAL,46252,48282,49998,47528,213055
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,STANDUP BAG,ASSORTED,SEASONAL,367,18426,88354,165,133414
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,46827,45118,41441,47426,176137
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,SOUR,EVERYDAY,45477,43861,40997,40775,174858
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,FRUIT,EVERYDAY,984,258,7172,7439,76384
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,39572,49265,47450,36632,170555
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,114630,149288,117020,105054,334658
AO CHEWY,FUTURE,ETHNIC,BOX,FRUIT,EVERYDAY,50586,50544,49205,49636,197815
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,SOUR,EVERYDAY,67581,62719,52276,60071,247492
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,SOUR,SEASONAL,23207,18816,43642,37822,140157
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,40000,39867,39591,45864,186468
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SHARE SIZE,ALL OTHER,EVERYDAY,23289,26958,24877,27443,118943
FRUITY CHEWY,FUTURE,MAINLINE,BOX,FRUIT,EVERYDAY,24829,24832,56127,18879,86723
GUMMY,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,114901,97288,92738,87863,290291
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,8098,10780,10109,13272,79129
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,27563,27447,28160,26729,143081
LOLLIPOP,FUTURE,KIDS NOVELTY,LAYDOWN BAG,FRUIT,EVERYDAY,12479,11510,9736,9469,113016
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,NUT,EVERYDAY,78551,78200,57685,54497,186826
GUMMY,FUTURE,GUMMY,TUB,SOUR,EVERYDAY,62944,55236,41749,49194,173561
CANDY CANE,FUTURE,NOT APPLICABLE,BOX,ASSORTED,SEASONAL,61583,56158,56679,55662,245900
NUT,IMMEDIATE,NUT,SINGLE SIZE,NUT,EVERYDAY,20252,35062,35418,33573,85710
NOVELTY,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,FRUIT,SEASONAL,58198,44076,33221,38005,221982
GUMMY,FUTURE,GUMMY,PEG BAG,ALL OTHER,EVERYDAY,48212,45462,36458,43539,172476
JELLY BEANS,FUTURE,NOT APPLICABLE,PEG BAG,ASSORTED,SEASONAL,21045,24210,20427,15389,126211
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,507,18199,22306,33653,225127
FRUITY CHEWY,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,ASSORTED,SEASONAL,34511,34357,29260,29246,109759
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,61044,65774,57244,45634,200120
AO CHEWY,FUTURE,MAINLINE,PEG BAG,ASSORTED,EVERYDAY,86787,76836,63951,67782,231131
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,31192,29705,29803,33042,137851
GUMMY,FUTURE,ETHNIC,LAYDOWN BAG,ALL OTHER,EVERYDAY,83274,134368,96719,40195,60332
GUMMY,FUTURE,GUMMY,STANDUP BAG,SOUR,EVERYDAY,49028,44500,52719,46463,206123
CANDY CORN,FUTURE,NOT APPLICABLE,TUB,ALL OTHER,SEASONAL,20970,27517,32164,35614,131650
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,9235,17250,32272,41707,150010
NUT,IMMEDIATE,ETHNIC,SHARE SIZE,NUT,EVERYDAY,51027,49063,45112,49208,203604
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,63675,65717,58620,56743,219864
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,23689,28285,26293,24051,143282
JELLY BEANS,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,8637,7717,17685,28049,117276
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,65110,52976,43693,33765,194693
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,115966,156737,85168,48742,309356
LICORICE,IMMEDIATE,LICORICE,SINGLE SIZE,ALL OTHER,EVERYDAY,27,66941,101807,109442,389336
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,FRUIT,EVERYDAY,352,26850,60548,2829,75270
GUMMY,IMMEDIATE,GUMMY,CHANGEMAKER,ASSORTED,EVERYDAY,23862,46483,46601,30215,138917
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,ASSORTED,EVERYDAY,6307,108,28124,19799,92747
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,42482,90123,62091,54939,258562
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,57,16323,110479,1912,64827
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,77703,112005,196832,130105,420312
GUMMY,FUTURE,NOT APPLICABLE,TUB,ASSORTED,SEASONAL,58419,66685,63477,77271,256474
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,84684,87337,46957,45894,116627
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,73921,62346,41625,39908,163055
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,79443,84598,65699,54869,244663
AO CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ALL OTHER,SEASONAL,42798,56252,35689,36441,166875
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,29369,43021,45015,48691,188674
LOLLIPOP,FUTURE,ETHNIC,LAYDOWN BAG,ALL OTHER,EVERYDAY,71426,51684,51145,60561,202795
GUMMY,FUTURE,GUMMY,STANDUP BAG,SOUR,EVERYDAY,28117,32566,28930,34914,165927
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,32447,29675,26173,23240,96309
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,FRUIT,EVERYDAY,51506,52763,45963,46652,186194
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,8720,27404,24548,28086,125986
GUMMY,FUTURE,GUMMY,LAYDOWN BAG,ASSORTED,EVERYDAY,42279,40483,36484,40598,182099
LOLLIPOP,FUTURE,ETHNIC,PEG BAG,FRUIT,EVERYDAY,81736,83189,66296,75480,238742
NUT,FUTURE,NUT,LAYDOWN BAG,NUT,EVERYDAY,36157,30492,12204,6766,129388
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,97074,94536,76838,69384,246007
NUT,IMMEDIATE,NUT,SINGLE SIZE,ALL OTHER,EVERYDAY,46992,51965,43929,47203,208320
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,FRUIT,EVERYDAY,52527,55794,46820,44393,203957
HARD CANDY,IMMEDIATE,CLASSIC FAVORITES,THEATER BOX,ASSORTED,EVERYDAY,59526,54206,60210,57413,228257
JELLY BEANS,IMMEDIATE,CLASSIC FAVORITES,CHANGEMAKER,ASSORTED,EVERYDAY,34707,49095,34864,52784,145148
HARD CANDY,FUTURE,SUGAR FREE CANDY,PEG BAG,FRUIT,EVERYDAY,22223,36445,33734,47370,202133
AO CHEWY,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,44060,35140,36294,32829,175956
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,21699,48236,35985,37582,189127
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,17852,15966,35500,18557,108026
NOVELTY,IMMEDIATE,KIDS NOVELTY,SHARE SIZE,ASSORTED,EVERYDAY,64128,60802,54737,55468,197152
HARD CANDY,FUTURE,CLASSIC FAVORITES,STANDUP BAG,ALL OTHER,EVERYDAY,92691,91390,90295,96206,245828
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ASSORTED,EVERYDAY,38771,19325,18981,90942,229430
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,90,1194,4017,5732,88677
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,ALL OTHER,EVERYDAY,45849,31776,51899,56435,205990
NOVELTY,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,ASSORTED,EVERYDAY,70414,58015,45098,56623,187532
LOLLIPOP,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,14134,11450,9122,13045,89765
AO CHEWY,FUTURE,ETHNIC,PEG BAG,ALL OTHER,EVERYDAY,57417,48810,44978,45984,169863
