Type,Immediate_vs_Future,Segment,Package_Type,Mega_Flavor,Seasonality,q2_2018,q3_2018,q4_2018,q1_2019,sales
JELLY BEANS,IMMEDIATE,NOT APPLICABLE,SINGLE SIZE,FRUIT,SEASONAL,334,47345,180435,1165,269764
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,SOUR,EVERYDAY,28402,82743,157156,34820,803337
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,ASSORTED,EVERYDAY,184454,185534,174959,325271,1440376
NOVELTY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,ASSORTED,SEASONAL,184686,337751,327662,384374,1658353
FRUITY CHEWY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,FRUIT,EVERYDAY,767,153,382713,18820,347349
FRUITY CHEWY,FUTURE,MAINLINE,BOX,FRUIT,EVERYDAY,165391,257125,183165,240529,1183785
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,27,8,454026,25652,436440
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,SOUR,EVERYDAY,1815,152488,583792,3428,466177
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,STANDUP BAG,SOUR,SEASONAL,272,67989,233209,71,319587
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,FRUIT,EVERYDAY,4739,134724,414703,398320,3127911
CANDY CANE,FUTURE,NOT APPLICABLE,BOX,ALL OTHER,SEASONAL,184114,155979,156880,217657,857131
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,8,5,358593,10844,357477
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,CARAMEL,EVERYDAY,295,86836,276984,637,201081
FRUITY CHEWY,IMMEDIATE,MAINLINE,SINGLE SIZE,ALL OTHER,EVERYDAY,126,184112,400907,343,611863
FRUITY CHEWY,IMMEDIATE,MAINLINE,SHARE SIZE,FRUIT,EVERYDAY,188118,205753,145954,125458,671880
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,201764,184459,187143,246624,1057057
GUMMY,FUTURE,GUMMY,TUB,FRUIT,EVERYDAY,33,7,384029,13518,358339
GUMMY,IMMEDIATE,GUMMY,THEATER BOX,FRUIT,EVERYDAY,795,2897,6180,9430,165322
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,1000,528,577619,41603,366986
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,SOUR,EVERYDAY,23007,25647,28142,20530,718973
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,SOUR,EVERYDAY,35711,184382,328738,32071,821733
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,ASSORTED,EVERYDAY,240,9,146523,9507,201252
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,8495,10276,403864,38448,435902
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,18431,70941,135405,236739,1526379
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,SOUR,EVERYDAY,51720,39637,41080,40302,923892
LOLLIPOP,FUTURE,SUGAR FREE CANDY,PEG BAG,FRUIT,EVERYDAY,213225,276510,315576,334976,1372291
LICORICE,FUTURE,LICORICE,PEG BAG,ASSORTED,EVERYDAY,1997,6704,47592,122468,1192131
GUMMY,FUTURE,GUMMY,STANDUP BAG,ALL OTHER,EVERYDAY,50484,113595,121085,161152,796094
FRUITY CHEWY,IMMEDIATE,LICORICE,THEATER BOX,FRUIT,EVERYDAY,23090,17615,390800,3853,421939
FRUITY CHEWY,IMMEDIATE,MAINLINE,SHARE SIZE,FRUIT,EVERYDAY,613,102276,375943,792,370375
ASSORTMENT MIXES,FUTURE,ETHNIC,LAYDOWN BAG,ASSORTED,EVERYDAY,186767,166744,172716,250735,1620417
HARD CANDY,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,345,89292,322197,728,458770
FRUITY CHEWY,IMMEDIATE,MAINLINE,THEATER BOX,SOUR,EVERYDAY,164843,186340,134128,133725,615187
LICORICE,FUTURE,LICORICE,PEG BAG,FRUIT,EVERYDAY,1890,174478,234962,3130,412414
GUMMY,FUTURE,ETHNIC,TUB,ALL OTHER,EVERYDAY,146938,179455,153075,134112,1355422
GUMMY,FUTURE,GUMMY,STANDUP BAG,ASSORTED,EVERYDAY,44,316132,342604,337,518268
ASSORTMENT MIXES,FUTURE,MAINLINE,STANDUP BAG,ASSORTED,EVERYDAY,49,153732,196346,1045,393116
JELLY BEANS,FUTURE,CLASSIC FAVORITES,BOX,ASSORTED,EVERYDAY,194388,59882,5443,16419,341747
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,190217,167592,175608,181762,868405
ASSORTMENT MIXES,FUTURE,NOT APPLICABLE,ALL OTHER,ASSORTED,SEASONAL,373,95,82582,4589,107885
GUMMY,FUTURE,MAINLINE,PEG BAG,FRUIT,EVERYDAY,167995,184461,322761,164505,754242
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,THEATER BOX,NUT,EVERYDAY,169951,147907,151851,161157,975216
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,CARAMEL,EVERYDAY,145533,348623,596656,468606,1744505
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,289,99994,390582,59,614442
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,SOUR,EVERYDAY,200591,220354,239932,215302,1087888
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,190806,168179,195158,207205,928304
FRUITY CHEWY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,22555,20672,19348,15639,53506
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,138152,153353,122724,160070,721477
NOVELTY,FUTURE,NOT APPLICABLE,PEG BAG,FRUIT,SEASONAL,117850,150397,176767,260398,1094985
FRUITY CHEWY,FUTURE,MAINLINE,LAYDOWN BAG,FRUIT,EVERYDAY,65135,141499,145048,145314,792609
FRUITY CHEWY,IMMEDIATE,LICORICE,SINGLE SIZE,ASSORTED,EVERYDAY,88115,109901,248007,82479,526568
JELLY BEANS,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,174649,184650,171756,188029,1015849
GUMMY,FUTURE,GUMMY,BOX,ASSORTED,EVERYDAY,10172,61069,710023,269387,1545526
FRUITY CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,FRUIT,EVERYDAY,13,3,276548,14794,275783
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,STANDUP BAG,ASSORTED,EVERYDAY,25925,39128,64870,80233,519555
GUMMY,IMMEDIATE,GUMMY,SHARE SIZE,SOUR,EVERYDAY,153145,218081,153614,116698,696945
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ASSORTED,EVERYDAY,194003,173548,193045,203060,748696
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,LAYDOWN BAG,ASSORTED,EVERYDAY,5752,6155,3972,3126,10059
ASSORTMENT MIXES,FUTURE,ASSORTMENT MIXES,STANDUP BAG,ASSORTED,EVERYDAY,92912,98916,81136,131991,871756
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SINGLE SIZE,CARAMEL,EVERYDAY,119154,125652,127367,147390,760718
FRUITY CHEWY,FUTURE,NOT APPLICABLE,BOX,FRUIT,SEASONAL,716,181451,238282,393,434876
FRUITY CHEWY,IMMEDIATE,MAINLINE,SHARE SIZE,SOUR,EVERYDAY,169292,172464,161521,166744,728545
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,155065,162761,190201,187303,706261
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,SOUR,EVERYDAY,152923,196973,180745,176926,1011289
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,ASSORTED,EVERYDAY,70358,152182,254825,292953,996225
NOVELTY,FUTURE,KIDS NOVELTY,PEG BAG,SOUR,EVERYDAY,177580,175913,194125,227448,829324
GUMMY,FUTURE,GUMMY,PEG BAG,SOUR,EVERYDAY,201698,161326,95892,65807,322177
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,146847,124589,143272,156875,643394
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,1436,419,348263,27931,200590
FRUITY CHEWY,FUTURE,MAINLINE,PEG BAG,SOUR,EVERYDAY,183837,182435,201277,236799,786151
NOVELTY,FUTURE,NOT APPLICABLE,PEG BAG,FRUIT,SEASONAL,195267,212851,208623,230713,920706
HARD CANDY,FUTURE,SUGAR FREE CANDY,PEG BAG,ALL OTHER,EVERYDAY,196205,222972,199579,197658,817061
NOVELTY,FUTURE,NOT APPLICABLE,TUB,FRUIT,SEASONAL,143261,150660,171555,152220,689184
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,210372,205990,202688,218088,851517
HARD CANDY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,ALL OTHER,EVERYDAY,694,559,283637,8779,301323
NOVELTY,IMMEDIATE,KIDS NOVELTY,SINGLE SIZE,SOUR,EVERYDAY,167040,132782,134862,541458,1593526
AO CHEWY,FUTURE,ETHNIC,BOX,NUT,EVERYDAY,69721,97640,84018,151094,690270
GUMMY,FUTURE,GUMMY,PEG BAG,FRUIT,EVERYDAY,130999,148275,165834,188325,932589
AO CHEWY,IMMEDIATE,CLASSIC FAVORITES,SHARE SIZE,CARAMEL,EVERYDAY,142049,218535,190684,209535,816711
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,FRUIT,EVERYDAY,16420,18989,13174,16814,100201
NOVELTY,IMMEDIATE,KIDS NOVELTY,SHARE SIZE,ASSORTED,EVERYDAY,88752,122771,216095,85746,567357
GUMMY,IMMEDIATE,GUMMY,SINGLE SIZE,ASSORTED,EVERYDAY,4597,107907,259252,6787,316514
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,NUT,EVERYDAY,159404,153767,161364,187417,633529
GUMMY,FUTURE,NOT APPLICABLE,PEG BAG,ASSORTED,SEASONAL,209722,209244,259819,187127,830285
AO CHEWY,FUTURE,CLASSIC FAVORITES,PEG BAG,ALL OTHER,EVERYDAY,40,8,238514,12020,272833
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,FRUIT,EVERYDAY,189264,186097,175482,186704,813602
GUMMY,IMMEDIATE,NOT APPLICABLE,SHARE SIZE,SOUR,SEASONAL,140707,140201,198796,148934,764525
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,114,102666,179138,361,369059
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,42936,52921,38899,61993,504585
LOLLIPOP,FUTURE,KIDS NOVELTY,LAYDOWN BAG,FRUIT,EVERYDAY,142963,155749,150188,152677,703265
AO CHEWY,FUTURE,CLASSIC FAVORITES,LAYDOWN BAG,CARAMEL,EVERYDAY,200729,189634,175716,192649,830031
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,164569,291989,227396,271277,1211155
FRUITY CHEWY,FUTURE,NOT APPLICABLE,TUB,FRUIT,SEASONAL,198011,217435,171906,174556,911701
LOLLIPOP,IMMEDIATE,KIDS NOVELTY,CHANGEMAKER,FRUIT,EVERYDAY,155799,165154,166471,175446,740795
NUT,FUTURE,NUT,PEG BAG,NUT,EVERYDAY,175758,303000,241677,264557,1163872
NOVELTY,FUTURE,KIDS NOVELTY,STANDUP BAG,ASSORTED,EVERYDAY,120170,152828,248544,112776,653781
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,157917,167131,145981,174089,808677
FRUITY CHEWY,IMMEDIATE,MAINLINE,CHANGEMAKER,FRUIT,EVERYDAY,71897,102162,274162,129656,612597
GUMMY,FUTURE,GUMMY,PEG BAG,ASSORTED,EVERYDAY,121444,273246,224229,205390,706398
JELLY BEANS,FUTURE,CLASSIC FAVORITES,PEG BAG,ASSORTED,EVERYDAY,71,89517,182980,483,396910
GUMMY,IMMEDIATE,NOT APPLICABLE,CHANGEMAKER,SOUR,SEASONAL,166867,154761,149420,143529,622250
LICORICE,FUTURE,NOT APPLICABLE,LAYDOWN BAG,FRUIT,SEASONAL,48,51873,214602,109,222635
GUMMY,FUTURE,NOT APPLICABLE,LAYDOWN BAG,ASSORTED,SEASONAL,168127,161833,155236,200866,769389
LICORICE,FUTURE,LICORICE,LAYDOWN BAG,ALL OTHER,EVERYDAY,25881,115327,310947,76427,676437
FRUITY CHEWY,FUTURE,MAINLINE,STANDUP BAG,SOUR,EVERYDAY,94990,88415,145943,115039,583565
GUMMY,FUTURE,GUMMY,PEG BAG,ALL OTHER,EVERYDAY,712,976,198942,11428,297793
